EventId,event_name,event_date,fighter_1,fighter_2,winner
1157,UFC Fight Night: Luque vs. Dos Anjos,2023-08-12T20:00Z,Josh Parisian,Martin Buday,Martin Buday
1157,UFC Fight Night: Luque vs. Dos Anjos,2023-08-12T20:00Z,Jaqueline Amorim,Montserrat Conejo Ruiz,Jaqueline Amorim
1157,UFC Fight Night: Luque vs. Dos Anjos,2023-08-12T20:00Z,Da'Mon Blackshear,Jose Johnson,Da'Mon Blackshear
1157,UFC Fight Night: Luque vs. Dos Anjos,2023-08-12T20:00Z,Juliana Miller,Luana Santos,Luana Santos
1158,UFC 293: Adesanya vs. Strickland,2023-09-09T22:30Z,Israel Adesanya,Sean Strickland,Sean Strickland
1158,UFC 293: Adesanya vs. Strickland,2023-09-09T22:30Z,Tai Tuivasa,Alexander Volkov,Alexander Volkov
1158,UFC 293: Adesanya vs. Strickland,2023-09-09T22:30Z,Manel Kape,Felipe dos Santos,Manel Kape
1158,UFC 293: Adesanya vs. Strickland,2023-09-09T22:30Z,Justin Tafa,Austen Lane,Justin Tafa
1158,UFC 293: Adesanya vs. Strickland,2023-09-09T22:30Z,Tyson Pedro,Anton Turkalj,Tyson Pedro
1158,UFC 293: Adesanya vs. Strickland,2023-09-09T22:30Z,Carlos Ulberg,Da Woon Jung,Carlos Ulberg
1158,UFC 293: Adesanya vs. Strickland,2023-09-09T22:30Z,Jack Jenkins,Chepe Mariscal,Chepe Mariscal
1158,UFC 293: Adesanya vs. Strickland,2023-09-09T22:30Z,Jamie Mullarkey,John Makdessi,Jamie Mullarkey
1158,UFC 293: Adesanya vs. Strickland,2023-09-09T22:30Z,Nasrat Haqparast,Landon Quinones,Nasrat Haqparast
1158,UFC 293: Adesanya vs. Strickland,2023-09-09T22:30Z,Blood Diamond,Charles Radtke,Charles Radtke
1158,UFC 293: Adesanya vs. Strickland,2023-09-09T22:30Z,Shane Young,Gabriel Miranda,Gabriel Miranda
1158,UFC 293: Adesanya vs. Strickland,2023-09-09T22:30Z,Kevin Jousset,Kiefer Crosbie,Kevin Jousset
1159,UFC Fight Night: Gane vs. Spivac,2023-09-02T16:30Z,Ciryl Gane,Serghei Spivac,Ciryl Gane
1159,UFC Fight Night: Gane vs. Spivac,2023-09-02T16:30Z,Manon Fiorot,Rose Namajunas,Manon Fiorot
1159,UFC Fight Night: Gane vs. Spivac,2023-09-02T16:30Z,Benoit Saint Denis,Thiago Moises,Benoit Saint Denis
1159,UFC Fight Night: Gane vs. Spivac,2023-09-02T16:30Z,Volkan Oezdemir,Bogdan Guskov,Volkan Oezdemir
1159,UFC Fight Night: Gane vs. Spivac,2023-09-02T16:30Z,William Gomis,Yanis Ghemmouri,William Gomis
1159,UFC Fight Night: Gane vs. Spivac,2023-09-02T16:30Z,Morgan Charriere,Manolo Zecchini,Morgan Charriere
1159,UFC Fight Night: Gane vs. Spivac,2023-09-02T16:30Z,Taylor Lapilus,Caolan Loughran,Taylor Lapilus
1159,UFC Fight Night: Gane vs. Spivac,2023-09-02T16:30Z,Ange Loosa,Rhys McKee,Ange Loosa
1159,UFC Fight Night: Gane vs. Spivac,2023-09-02T16:30Z,Nora Cornolle,Joselyne Edwards,Nora Cornolle
1159,UFC Fight Night: Gane vs. Spivac,2023-09-02T16:30Z,Farid Basharat,Kleydson Rodrigues,Farid Basharat
1159,UFC Fight Night: Gane vs. Spivac,2023-09-02T16:30Z,Zarah Fairn,Jacqueline Cavalcanti,Jacqueline Cavalcanti
1160,UFC Fight Night: Sandhagen vs. Font,2023-08-05T22:00Z,Cory Sandhagen,Rob Font,Cory Sandhagen
1160,UFC Fight Night: Sandhagen vs. Font,2023-08-05T22:00Z,Jessica Andrade,Tatiana Suarez,Tatiana Suarez
1160,UFC Fight Night: Sandhagen vs. Font,2023-08-05T22:00Z,Dustin Jacoby,Kennedy Nzechukwu,Dustin Jacoby
1160,UFC Fight Night: Sandhagen vs. Font,2023-08-05T22:00Z,Diego Lopes,Gavin Tucker,Diego Lopes
1160,UFC Fight Night: Sandhagen vs. Font,2023-08-05T22:00Z,Tanner Boser,Aleksa Camur,Tanner Boser
1160,UFC Fight Night: Sandhagen vs. Font,2023-08-05T22:00Z,Ignacio Bahamondes,Ludovit Klein,Ludovit Klein
1160,UFC Fight Night: Sandhagen vs. Font,2023-08-05T22:00Z,Kyler Phillips,Raoni Barcelos,Kyler Phillips
1160,UFC Fight Night: Sandhagen vs. Font,2023-08-05T22:00Z,Jeremiah Wells,Carlston Harris,Carlston Harris
1160,UFC Fight Night: Sandhagen vs. Font,2023-08-05T22:00Z,Billy Quarantillo,Damon Jackson,Billy Quarantillo
1160,UFC Fight Night: Sandhagen vs. Font,2023-08-05T22:00Z,Cody Durden,Jake Hadley,Cody Durden
1160,UFC Fight Night: Sandhagen vs. Font,2023-08-05T22:00Z,Sean Woodson,Dennis Buzukja,Sean Woodson
1160,UFC Fight Night: Sandhagen vs. Font,2023-08-05T22:00Z,Ode Osbourne,Asu Almabayev,Asu Almabayev
1161,UFC Fight Night: Holloway vs. The Korean Zombie,2023-08-26T09:00Z,Max Holloway,Chan Sung Jung,Max Holloway
1161,UFC Fight Night: Holloway vs. The Korean Zombie,2023-08-26T09:00Z,Anthony Smith,Ryan Spann,Anthony Smith
1161,UFC Fight Night: Holloway vs. The Korean Zombie,2023-08-26T09:00Z,Giga Chikadze,Alex Caceres,Giga Chikadze
1161,UFC Fight Night: Holloway vs. The Korean Zombie,2023-08-26T09:00Z,Rinya Nakamura,Fernie Garcia,Rinya Nakamura
1161,UFC Fight Night: Holloway vs. The Korean Zombie,2023-08-26T09:00Z,Erin Blanchfield,Taila Santos,Erin Blanchfield
1161,UFC Fight Night: Holloway vs. The Korean Zombie,2023-08-26T09:00Z,Junior Tafa,Parker Porter,Junior Tafa
1161,UFC Fight Night: Holloway vs. The Korean Zombie,2023-08-26T09:00Z,Waldo Cortes-Acosta,Lukasz Brzeski,Waldo Cortes-Acosta
1161,UFC Fight Night: Holloway vs. The Korean Zombie,2023-08-26T09:00Z,Toshiomi Kazama,Garrett Armfield,Garrett Armfield
1161,UFC Fight Night: Holloway vs. The Korean Zombie,2023-08-26T09:00Z,Chidi Njokuani,Michal Oleksiejczuk,Michal Oleksiejczuk
1161,UFC Fight Night: Holloway vs. The Korean Zombie,2023-08-26T09:00Z,Song Kenan,Rolando Bedoya,Song Kenan
1161,UFC Fight Night: Holloway vs. The Korean Zombie,2023-08-26T09:00Z,Billy Ray Goff,Yusaku Kinoshita,Billy Ray Goff
1161,UFC Fight Night: Holloway vs. The Korean Zombie,2023-08-26T09:00Z,Liang Na,JJ Aldrich,JJ Aldrich
1161,UFC Fight Night: Holloway vs. The Korean Zombie,2023-08-26T09:00Z,SeungWoo Choi,Jarno Errens,SeungWoo Choi
1162,UFC Fight Night: Grasso vs. Shevchenko 2,2023-09-16T23:00Z,Alexa Grasso,Valentina Shevchenko,Draw
